Topic,Count,Name,CustomName,Representation,Representative_Docs
-1,926,-1_to_the_and_in,Outliers/unclustered,"['to', 'the', 'and', 'in', 'my', 'of', 'is', 'sims', 'sim', 'for']","['Bringing a whole new meaning to the term ""Phantom Pregnancy""...?:\nI had no idea what else to tag this as, or how it happened, or if it\'s even possible? For background, this is my 4th round with Esther and Zuleika. When I first played them they were attracted to each other and Grim, but seemed more set on each other long-term, both rolling the want to get married in round 2. In their 3rd round I wanted them to have a child so kept resetting for the ""bad"" outcome from the Wishing Well, that being their ghost daughter Skye. \n\n  \nI loaded in for round 4 today and saw Zuleika had the want to have a child, so I thought it\'d just check with MCCC to see if it\'s possible as ghosts and...well. I\'m truly baffled. I mean I\'m not complaining, but I\'m beyond confused here. As you can see there\'s no options to progress, change or end the pregnancy. I have any MCCC and neighbourhood stories settings that could have done this switched off. I do play with WW so that seems like the only other culprit, but Grim has always been very careful in that regard... \n\n  \nI plan on reviving Skye at some point so she can grow up and keep up with her friends while they go through high school, and had considered doing the same with Zuleika so she could have that baby. Don\'t get me wrong, I\'m very happy for them, just very, ***very*** confused!!', ""Something you wish the Sims 4 would DELETE:\nNow, just want to talk about the *small* things, not gameplay, paywall, bugs, etc.😂 \n\nHere's mine:\n\nThe DAMN Thanksgiving Gnomes. Why don't they go away after the holiday is over? Why do they spread seeds everywhere? Why are you REQUIRED for the holiday to interact with them just for them to dump seeds everywhere or break my shit? Why do I feel so guilty about killing them? \nI like holidays, so don't want to disable them but- those damn Gnomes. \n\nThe trellis. It becomes the main entrance of the house and nothing pisses me off more than my Sim being outside, needing to pee, using the trellis to go upstairs and walk by 3 toilets to go pee downstairs right next to the actual front door. UGH. I never get the sneak out option in High School Years so now it's just useless AND annoying. Could I delete this? Yes, but one day I'm going to get the damn pop up. \n\nHomework books. I actually didn't think of this one till someone mentioned old Sims you'd just click the bookshelf to do your homework, omg I'd die for that for Sims 4, and have the option to do homework on the computer would be convenient. \n\nHaving a grill solely because of those damn potions. Omfg. I could built a lot with the amount of potions that accumulate when I'm not paying attention to my yard. \n\nGHOSTS BREAKING MY SHIT. \n\nI'll think of more I'm sure. What's yours? \n\n*my apologies for the gnome debate.. but after all your comments, I still hate them* \n-I don't need the simoleons from them. It is too easy to make simoleons in the game for me to care about selling them, and it still makes me feel guilty for 'killing' them. \n-I have enough produce to last till my Sims great great grandchildren. My garden is the tit's. The 100+ apples in my Sims inventory would make doctors extinct. "", 'Elders are NOT fun- what can be done to fix that?:\nLet\'s get real for a second. I never play Elders. When I have a Sim reach adulthood, I play them for a while but as soon as they get close to ageing up, I shelve them and never touch them again.\n\nWhy? Because Elders are not fun.\n\nThey don\'t have age-appropriate hairstyles, clothes or hobbies, and if you try to make them Woohoo or exercise, there\'s a very real chance they might drop dead then and there, so their romantic relationships suffer as a result.\n\nSo, now that I\'ve talked about why I DON\'T play Elders, let\'s talk about what would make me WANT TO.\n\n* **Knitting!** My grandmother taught my sister and cousins how to knit as children, and now they\'re well into their 30s and they still do it to this day. Knitting would be a great way to unlock new cold-weather outfits since there\'s a startling lack of those. Scarves, mittens, sweaters, coats, and layered combinations of all of the above, there\'s so much potential here. And since cold-weather outfits are part of the base game, this content need not be exclusive to Seasons!\n* **Babysitting!** Let\'s face it, we *could* hire a Nanny, but every new mother I know calls on her own mother for help looking after the wee ones. Why not give us the opportunity to call our Sims\' parents over instead of hiring a Nanny?\n* **New Walk Styles!** Walking sticks, rollators... you get the idea.\n* **Grandparent-Grandchild Interactions:** ""You know, back in *my day...*"" that sort of thing. Let\'s have our Elders impart their knowledge onto their grandkids- this could be as simple as giving a Child or Teen Sims a head-start on a skill that the Elder has a high level in, or inspiring the grandkid to have a high-scoring Whim to join the same career as their grandparent.\n* **Family Recipes!** When a Sim reaches Adulthood, they might gain the ability to craft a Family Recipe. And, once they\'re an Elder, they could then pass on that recipe to younger family members, who can then pass it down to their descendants. Lumpy Mashed Potatoes, Chewy Chocolate Chip Cookies, Grandma\'s Comfort Soup (from TS2), you know, proper, homestyle cooking, just like Grandma used to make!\n* **New Traits!** Sims who age up from Teen to Young Adult get bonus Traits in Parenthood, but I\'d like to see something similar happen in the transition from Adult to Elder, perhaps as a consequence of reaching max level in a Career, or seeing your children grow up well. These could range from the negative- ""Forgetful"" might make Sims refresh their Whims at a more frequent rate (no need to make it full-on Dementia after all!), to the positive- ""Retirement Fund"" might allow Elder Sims to gain some bonus Simoleons every few days to live out their twilight years without needing to work themselves into an early grave.\n\nThat\'s all I\'ve got for the time being, feel free to add your own suggestions!']"
0,293,0_this_what_is_why,Weird or Unintended Gameplay Events,"['this', 'what', 'is', 'why', 'me', 'you', 'know', 'sorry', 'dont', 'excuse']","['What does this mean?!:\nHi, I just got this note. What does this mean? Is she doomed?!\n\nNo but seriously, I’ve just got this notification and I’ve never seen it before, despite playing the game for years! So… anyone familiar with this? ', 'What is this in his head?:\nIve never seen this before 😭', 'WHAT IS THIS!??:\n']"
1,269,1_mods_game_it_my,Mod/CC Conflicts & Patch Breakage,"['mods', 'game', 'it', 'my', 'the', 'to', 'and', 'update', 'but', 'play']","[""How do I fix my game?:\nSo, I'm one of those people with wayyyy too many mods, so I wasn't surprised when my game started crashing after the new update\n\n*But* these weren't just random crashes that make me want to quit the game, I can't even play a family anymore without it getting stuck on the loading screen\n\nI tried taking out most of my mods, no use. Taking out all of them (except CC), nope. Only when I turned off the script mods (but left the CC) did it work, so I have no idea what's making it crash.\n\nA friend recommended uninstalling and re-installing, but I'm way too scared about losing my stuff to do it and the game's way too boring without the mods I'm used to. So is there a way to fix this (possibly without having to uninstall the whole thing) or should I just wait it out?\n\nUPDATE: I went and looked through each one of my mods, deleting the broken ones, updating the whole thing and it is STILL broken so I think my game is cursed yall"", ""My builds keep getting deleted:\nSo my game broke after the update because I have a ton of CC and mods. Can't load into a household with mods on, turned them off, loading in works fine. Mod problem. Cool, annoying but understandable.\n\nSince I couldn't play in the saves I normally do, I decided to do some building because that worked either way. But when I load back into the game, in manage worlds it's there just how I left it. But if I try to go onto the lot it reverts it back to how it originally was (house I bulldozed, empty lot, etc.) This happened twice. I turned off mods, tried again, it happened again. My sibling also had this issue. We both have mods. It's only happening to builds made *after* the update.\n\nNone of these builds that were deleted contained CC. \n\nI haven't tried removing my mods folder entirely yet, but frankly I don't want any more builds to be deleted so I'm scared to test anything else. So it still could be mods I guess, I don't know. I guess I'll try removing the folder.\n\nI'm just pissed off rn. I want to play, but now it's not even letting me build. I could try to start an unmoded household but I don't want to if it's just going to delete everything the next time I play."", ""Unable to play with Script Mods:\nHi everyone! I'm pretty new to reddit so this has probably been posted before.\n\nI've been playing Sims 4 with mods for a long time now and I've always been able to play the game with mods with very little to no issue. But for some reason, after installing the new Wicked Perversions update, I can't play the game in live mode anymore. When I load up my save file, it opens up on the Worlds Map and whenever I try to play my household (or even any household), I just get rerouted back to the Worlds Map again.\n\nI've tried deleting Wicked Perversions and even doing the 50/50 method to check which of my mods are causing the error, but neither has worked. I've also tried deleting cache files (GameVersion.txt, Options.ini, localthumbcache.package, and Resource.cfg in the mods folder) since I saw a similar post that had this as the solution. \n\nSo far, the only thing that seems to work was disabling script mods (but not cc). I was able to play in live mode and load my household after this, but obviously most of my mods don't really work anymore.\n\nI'm open to trying anything at this point, so if any of you have any suggestions, I'd really appreciate it.""]"
2,130,2_build_house_the_it,Build/Buy Mode Confusion & Limitations,"['build', 'house', 'the', 'it', 'roof', 'to', 'building', 'im', 'this', 'and']","['Few Beginner Questions (Mostly About Building):\nI hope these questions don’t sound too silly, but I’ve been building and creating sims for a few days now, and I still can’t figure out how to do a few things I’ve seen other players do. I might have used the wrong flair for this post, I\'m sorry about that!\n\n❓️ How can I rotate objects freely (360°) without them snapping to the grid? I only know how to rotate using the mouse click, but I’ve seen builders turn objects without any boundaries and I\'d like to do that\n\n❓️ What’s the mod that lets you change household funds directly without using the in-game cheat feature? I think I saw Syd Mac use something like that\n\n❓️ In CAS, I faintly remember my friend pressing some keys and it unlocked a more detailed set of slider thingies than the usual detail edit mode. It reminded me of the extra roof slider thingies, where you can get more of those slider thingies. Does anyone know what that is?\n\n❓️ How do I access the extra roof slider thingies again? I’ve seen Caryn and Connie do it, but I completely forgot the method :\')\n\n❓️ How do I stop my camera constantly moving up and down while I try to build? Does it have something to do with the weird floor heights I\'m using due to my obsession with treehouses? I\'ve seen every content creator I watch move their camera, change the angle, and do all kinds of things while mine goes up and down constantly. It\'s so hard to build this way \n\nFinal note: Sorry about the often use of the word ""thingies"", I don\'t know what most of the terms are. Any help is appreciated, thank you in advance!', 'Can somebody more adept at building houses in ts3 tell me how the builder was able to do this?:\n[This shows what looks](https://i.imgur.com/m4PNLjh.jpeg) to be a foundation (or deck) ontop of the floor that\'s the ""roof"" - there are floor tiles ontop of the support beams & then there\'s a platform ontop of some of the tiles - but where that deck is there\'s no platform\n\n[This is what happens](https://i.imgur.com/6SJc9Wz.jpeg) when I delete a portion of the deck/foundation\n\n[This just shows](https://i.imgur.com/pwsl60s.jpeg) that there are platforms and floor tiles, I didn\'t realize it had both until I started deleting things.\n\nI\'m confused because when I use constrainfloorelevation to place the deck portion where I\'d like it pushes the entire thing onto the ground, so I\'m trying to figure out how the builder got it up there in the first place. It\'s not a half wall because there are tiles on top of it. I cannot grab and drag it further because it gives me either a \'floor pattern not floorable\' error or the floor tile error.\n\nIs there anybody that could assist me with this? I\'d like to expand the roof and keep it looking the same, but I can\'t figure out how to do it! I\'m almost positive it\'s definitely a foundation because the sides are paintable. \n\n>Edit\nThis house is on the custom world [Legacy Island III by Rflong7](https://www.thesims3.com/assetDetail.html?assetId=8219962). There are houses/rabbit holes built by Rflong in the world, and this is one of those houses. They tend to use foundations as walls, this beach house in particular. But, the world and build is truly amazing and I love playing my legacy in LI3, if you have most of the EPs I highly recommend.', 'I made Judith Ward a new house:\nI was curious many simmers makeover Judith Ward\'s house so I checked her house and it\'s awful so I tried making her a new one, too.\n\nBecause she\'s a celebrity, I thought I\'d give her a tall fence. People can still peek but it also gives some sense of privacy. I also gave her a home theater with movie posters outside. I also felt like a natural pool may be something a rich person would have so I made that, too. There\'s a platform above it which bridges the main house to another room. I play tested it so I know she can swim under and walk above. I added a bar, too, just because I feel like she\'d be the type to just drink the night away. \n\nI made the garage using an upsized table. \n\nBecause I played her just to test play this build, I found out she didn\'t know anyone at all and now I feel sad for her. \n\n\n\nThis build is on the gallery. It\'s called \'Ward Escape\'.\n\n\nJust a little note: the first floor is below ground so when you play it, you\'d see empty ""basements"" which I just used as some sort of foundation for the rest of the house. I had to do it this way so that the platform can act like a bridge. I don\'t know any other method for this. ']"
3,108,3_baby_toddler_is_infant,Baby/ Infant/ Toddler Gameplay Issues,"['baby', 'toddler', 'is', 'infant', 'up', 'toddlers', 'the', 'my', 'this', 'infants']","['Today I learnt that Science Babies are not recognized by the Proud Parent Scenario:\nSo I just started a new save with a little story/challenge for myself to finally get into the ""campaigns"" and not just ""sandbox"" and decided to start with a simple Scenario for the parent Generation of the Sim i\'ll actually be playing with.\nSince I didn\'t wanna wait for a proper pregnancy to runs it\'s course and didn\'t wanna adopt I decided to have a Science Baby - only for the game to not tick off the first part of the Scenario check list...\nI figured that the Scenario is older than the Infant/Science Baby update since it doesnt include anything about Infants but I did not expect that it wouldn\'t recognize poor little Sadie at all.', 'newborn bug:\nas depicted, i’m having a bug where my newborn essentially has two races 😭 both of his parents are white and he appears white in the bassinet, but in the family icons he’s black for some reason lol \nthis happens only on this save and happened with his older brother, too. i thought it had something to do with the cc bassinet that i had when his brother was a newborn, but now the younger one just got a generic one and the bug is still there 😭 does anyone have any idea what may cause that?\n(when they get aged up to an infant and further, the bug is gone, so it only affects newborns)', 'just found out about toddler play dates…they did NOT live up to my expectations 😒:\nk so i made a little blonde british boy and his mom and then i made the blonde woman as a teenager and she had a toddler of her own with some random townie so i was like oh he’s a cutie i’ll make the toddlers be friends so i make a whole park for them and set up a play date with them and a few other toddlers and my baby george tries to talk to the curly haired toddler and tries to hug him and his mom just picks him up and starts cussing out george💀💀 like what did he do?? he even tried to get him mom involved and she just pissed herself. AND then everyone was passing out and the moms were chatting and leaving their children asleep on the ground, no one would play together, one toddlers mom showed up nude, and my other toddler pissed herself as well😐 was much less cute than i thought it would be']"
4,94,4_sims_the_of_that,Sims 5 Critiques & Franchise Uncertainty,"['sims', 'the', 'of', 'that', 'game', 'to', 'be', 'for', 'in', 'and']","['I don’t want sims 5, i want a sims 2 remake. :\nSims 2 was really made with love, attention to details, and a good level of difficulty. everything is important and everything matters. wants and fears, good and bad events, needs, everything actually affect the sims.\nSims 3 lacks this attention to details, but they compromised and put every efforts into the open world. but we were waiting for a balance between a great open world and attention to details, and realism while keeping the sims original signature, aesthetic, and universe. \n\nwhen sims 4 came out in 2014, that’s what I was waiting for. I was waiting for a perfect remake of sims 2 with open world like sims 3, and many other features, and graphics. an immersive gameplay where everything matters, everything is important, that they are not just puppets. \n\ninstead, we got bland, tasteless, lifeless, even useless sims 4. \nugly graphics even for the time, a bland gameplay, and no real purpose. everything is boring. \nnothing really matters. the emotions, which was announced as a big feature, does not affect a lot the gameplay. \nonly 3 traits that does not affects the gameplays either, and a life goal/ambition system that is absolutely bland compared to the sims 2 and 3.\nthey add more and more and more features with the 500 packs that they sell u for 40€, that are as useless and bland. sims are just useless puppets that have no real purpose. which is very sad, for a life simulator. \n\nwe were announced Project rene, but it’s been 1 year since we had any updates and news about this game. i’m losing hope. \n\nthe sims franchise will die if they don’t do anything. \n\n what do you think? do you agree? ', 'Soooo, given that EA has confirmed we’re not getting the Sims 5… what now for the series?:\nSo this was something I was thinking about, as it stands, EA obv isn\'t planning a direct successor to the Sims 4, instead basically focusing on spin offs (most of which seem to be mobile games, which yes I get are very profitable but don\'t really fill the same niche as the traditional Sims games at all IMO). And so with this news, I was thinking, where does that leave the Sims 4, and the Sims generally?\n\nNow obviously, the Sims isn’t quite in the position it used to be in, where it was the only game like it on the market, so the user just kinda had to put up with whatever. There are various competitors popping up which COULD potentially knock the Sims off its throne, or at least take a decent market share away from the brand!\n\nI mean, in my opinion, there are basically a few things the Sims 4 could do, they could either go a “ship of thesis” route where most of the games internals are repaired and modernised (leaving no-very little remnants of the original game, hense the analogy), or they could keep things mostly as they are (basically an 11 year old game held together by duct tape and hope) and hope for the best.\n\nOn one hand, IF they were to choose to go the “ship of thesis” route, it\'d be quite a bit of work, given they\'d effectively be rewriting very large portions of the game (arguably effectively creating a new game). However, in the long term, it might just be what’s best for both the health of the game (and therefore EA’s profits) and the playerbase (who EA are heavily reliant on). \n\nOriginally, the Sims 4 was planned to be an always-online multiplayer-ish game, but when SimCity (2013) failed as hard as it did, EA pivoted and hastily retooled the game into a single-player game, which, of course, caused a bunch of issues. And while SOME of these issues have been remedied over the years, many are still present, and NGL, it\'s just hard to build your supposedly definitive Sims game on such rocky foundations. \n\nRewriting large parts of the game could solve this; they\'d be replacing all the problematic, hacky parts of the code base, and they could even rewrite the game into something based on what EA specifically wants it to be NOW, a very long-term Sims base game to sell DLC from, optimised for modern hardware. \n\nWho knows, with such rewrites, EA may finally be able to implement some features that the fanbase has been asking for but which were previously impossible, such as greater modding capabilities (maybe even stuff like Create-a-World), and they could EVEN try to implement arguably the biggest selling point one of their main competitors has over them, an open world (though that could be a slight reach haha). \n\nSo while yes, it would be a lot of work for EA to rewrite and optimise the Sims 4 for modern systems (perhaps such a rewrite could see the game rebranded to just simply ""the Sims""), doing so could potentially allow EA to ensure that their competiton are unable to seriously challenge them in the life sim market.\n\nOn the other hand, EA could simply keep doing what they are doing now, continuing to release new DLCs and neglecting areas of the game in need of optimisation and bugfixes. By doing this, they\'d largely be relying on brand loyalty and stuff like influencer advertising. However... I kinda feel like... I mean, influencer advertising isn\'t SUPER expensive, and companies like Krafton can also afford to promote their game this way. So really, they\'re kinda just relying on the brand loyalty people have for the Sims, and hoping that the other competitors don\'t get too popular. \n\nI feel that for EA, this is kinda a risky strategy. It MIGHT work; the other main competitors may simply fail to gain significant traction, and the Sims gets to maintain its profitable position at the top without EA having to expend the effort to fix the game. If that happens, EA wins! HOWEVER, if either one of the new Sims competitors ends up getting good, good enough to start taking customers away from the Sims, then EA and Maxis could face a situation similar to that of Cities: Skylines and SimCity, which would probably be disastrous for EA, given how important the Sims brand is for them.\n\nBut yeah, those were just my silly thoughts, obviously, I\'m just kinda spitballing here, I\'d love to hear your thoughts in the comments though, thanks a bunch for reading!', 'I’m pissed off, and now I have a list of demands for the next Sims game:\nDisclaimer: this post is slightly tongue-in-cheek, but does convey my thoughts on what I think should be prioritized for The Sims 5, assuming it gets made. Also, this post will be _laden_ with profanity - you’ve been warned\n\nSomething that has remained a constant throughout the Sims series is that Sims do all kinds of stupid shit to _piss you off_. The Sims 4 is better about this in some regards, but worse in others. This all became very clear to me during a bit of a marathon Sims 4 session yesterday, playing a family that consisted of two married sims and their three pairs of twins, where I became more and more frustrated throughout the day. Apologies to my neighbors, who probably now think I’m verbally abusing a mute person who lives with me as they sporadically hear me scream things like “NO! Put down the fucking bowl NOW and go to the fucking bathroom, you stupid cunt!”\n\nAs a result, I now have an official list of demands for Sims 5. It doesn’t include cars, open world, or any of that crap. It simply includes ways for sims to not piss me off so fucking much.\n\nBtw, this is focused on ways the Sims 4 pisses me off, but before you go smugly saying “tHiS iS wHy I wEnT bAcK 2 tHe SiMs 3”, just know that I will _glady_ spell out the fucking _LITANY_ of ways that The Sims 3 used to piss me off. Try me, stans. 🤣\n\nWithout further ado, my list of demands for a future Sims game:\n\n1. If I tell you to do something, do it ***NOW!!!*** Not 5 sim minutes from now. Not after you’re done with the chat animation. NOW!! Fucking NOW NOW NOW. I know it’s really important to _you_ that you finish your next bite of cereal, but it’s more important to _ME_ that you not ***SHIT YOURSELF***. In other words, sims should be more responsive and stop an activity immediately if the player has cancelled that action. It’s not unrealistic to do - in real life it’s a thing you can do to say “Hold that thought, Bob, I need to go to the bathroom before I shit myself.” It’s not rude, it’s just good manners to not shit yourself.\n2. Stop being so ***GOD DAMN DUMB***. We need better AI. It doesn’t have to be perfect - I’m totally fine with my stupid sims passing out because they didn’t get enough sleep. What I can’t fucking stand is when they’re so irredeemably stupid that it results in what I’m lovingly referring to as “Nightmare morning”. It’s Saturday morning, the last pair of twins is ready to age up. So mom baked them a birthday cake. This takes _hours_ because all the teenagers in the house are all trying to cook ***for some fucking reason*** despite that there are already two excellent-quality meals ready for them on the counter, and so mom can’t reach the oven to finish the cake. Cue several minutes of all my sims playing hot potato with this bowl of cake dough as I try to cancel their actions one by one. This is already fucking infuriating, but then one of them decides to try to grill something, but they have no cooking skill so they set the grill on fire, and now everyone stops what they’re doing to look at the fire, which is on the other side of the fucking lot. Bright side, now the oven is clear, so mom can ***finally finish baking the fucking cake***. Finally, we get some candles on that bad boy, and mom’s close to her birthday, so I decide to kill three birthdays with one cake. Mom blows out the candles, but then instead of aging up, _she teleports outside of the house_. Okay let’s try again. Same thing. I do reset sim, and this time it works. I proceed to do “reset sim” on each of the twins before having them blow out the candles, though it takes a while, because they have both wandered off to the edge of the lot which is a big deal because it’s one of those huge Windenburg lots. In summary, better AI for autonomy. The autonomy is better than in previous games but it’s still really bad.\n3. Faster eating. Faster shitting. Faster showering. I’m so fucking sick of this shit, I don’t know why we’re all so okay with it taking a fucking month for a sim to eat a fucking bowl of cereal, sitting there like a grinning little cunt staring at the fucking wall for an hour between each fucking bite. ***WATCHING SIMS EAT AND SHIT IS NOT WHY I PLAY THE SIMS***. That’s just the part I (barely) tolerate so I can do the fun parts, like developing their relationships or working on their careers. ***NO ONE OTHER THAN MY SISTER IN LAW TAKES TWO HOURS TO SHOWER!!!*** Just fucking quit it. Make it faster. Get shit done.\n4. Multi-tasking is great, but it shouldn’t slow things down. Realism be damned, if I have no control over some dipshit missing link mother fucker coming over to talk to my sim while she’s eating, then I shouldn’t be punished for it by having the eating take long enough to be measured with a sun dial. If my sims are talking while they do homework, that shouldn’t slow down the process of finishing the homework. Again, fuck realism, I just want to not be pissed off.\n5. Stop being so ***GOD DAMN DUMB***, part 2. There’s a dinner table and a chair right next to you, why are you walking up two flights of stairs to sit on the bed to eat, you Neanderthal? There’s a kitchen sink right next to you, why are you journeying deep into the Amazon to wash your plate in the fountain of youth, you dumb fucking bucket of donkey shit?! Your date is sitting on that barstool right there, why are you climbing up to the fucking roof to start chatting with her, you backwards-pissing monkeyfucker?!\n6. Automatically change into normal clothes to go to work or school. I don’t know why my sims are all going to school in their (very inappropriate) pajamas or when that shit even started, but they ***needtofuckingquitit***.\n7. Back on “group conversations”. There needs to be an invite only thing. Like a pop up that says “Brent Hecking would like to join the conversation”, and the options should be “Sure, come on in, buddy” and “Fuck off”. I love group conversations because they allow more than two sims to build relationship at the same time, but the player should have control over this. The reason is because trying to get a group convo back down to just two sims ***IS A FUCKING NIGHTMARE*** that takes eons to do.\n\n(Sigh) I feel better now. But seriously. I want more control over my sims, and I want them to be less hopelessly dumb when I just don’t feel like micro-managing a household of 8 sims.\n\nEDIT: Fixed some typos that were entirely the fault of my phone\'s autocorrect, which has become self-aware and is actively trying to destroy my life. It\'ll change ""baking the fucking cake"" to ""baking the fucking bake"", but then it\'ll completely ignore an obvious typo like ""establoshment"" and say ""NOPE! I don\'t know what to fucking do with _that shit_."" So if anyone from Apple is reading this, fuck you for a million reasons, but especially fuck you with a baseball bat wrapped in barbed wire for making autocorrect so _god damn infuriating_. You\'re one wrung higher on my shitlist than the knuckle-fuckers at Maxis.\n\nEDIT 2: Whichever weirdo gave this the ""wholesome"" award, you\'re my kind of asshole.\n\nEDIT 3: Here\'s another one:\n\n8. You know how if a sim gets struck by lightning twice, they die? So, umm... if my sim gets struck by lightning the first time... ***CAN YOU FUCKING TELL ME?!*** Why the game doesn\'t automatically switch focus to the sim that\'s literally going to die is beyond me. It\'s probably ***slightly*** more important than whatever else I was focusing on. ***THANKS***']"
5,83,5_she_her_shes_he,Sims Gameplay & Player Storylines,"['she', 'her', 'shes', 'he', 'is', 'on', 'him', 'in', 'was', 'to']","['I dumped my spouse :\nThe man was moping around crying about how unsatisfied he was in our relationship.  We went to therapy, took a romantic vacation and nothing, he is still upset.  I snapped yelled at him, punched him in the face (not a proud moment) and dumped him.  His response?  ""If you yell at me one more time I\'m breaking things off!"". God I don\'t miss him.  I got pregnant before I threw him out and gave birth to twins. He is paying child support.', 'Her mother JUST died so her mother decided to call her and tell her she was sorry for her loss:\n', 'AITA for breaking up with my BF right before prom?:\nI (16F) have been dating my boyfriend (16M) since the first week of highschool. Prom is coming up and I’ve been so excited for him to ask me.\n\nLast week he came over unannounced after school. I was excited to see him, but he walked through the door right past me, didn’t acknowledge me, then asked MY MOM to the prom. She of course turned him down, but I was so mad. We got into an argument, and things escalated. Now I’m getting texts from my friends saying how much he dislikes me, and that this is going to ruin my reputation. My (now ex) boyfriend even texted me that I look like a shaved llama. AITA?']"
6,60,6_outfits_outfit_the_wear,"Frustrations with CAS, Clothing, and bugs","['outfits', 'outfit', 'the', 'wear', 'and', 'by', 'but', 'this', 'townies', 'only']","[""Fairy sims not linking with disguise in CAS:\nPlease lmk if this isn't allowed or a better place to post. I'm not well versed everything to do with the sims and ways to work around or fix bugs. \n\nI almost never make occult sims but I was super excited for the enchanted by nature pack. Only issue is I spent *HOURS* making a few sims before I realized that certain features just werent linking. Clothes and hair were fine, but if I had to adjust any facial features the changes wouldnt register between fairy form and their disguise. I noticed the option to link everything but clicking it does nothing. \n\nThen, I tried to just manually adjust what didn't copy, but for whatever reason it *was* copying, just not correctly. Adjusting the lip shape in the fairy form would also adjust it in the disguise, but the actual shape wouldn't end up the same. I'd get the fairy form exactly how I want it, just to go back to the disguse and see everything was deformed. Same thing would happen by adjusting the disguise then looking back at the fairy form. I got frustrated and just closed the game deciding I'd try again next time I play.  \n\nIs this just a weird bug or am I mistaken in how linking between forms is supposed to work? Is there a way I can get my fairies and their disguises to actually be identical (excluding wings ofc)? "", ""Pants? Pants? Pants?:\nWhy are the men's trousers so bloody awful!? I do not know a man that would wear ANY of the choices EA gives us. I am not talking about occult/ novelty style stuff. I admit that I am a really vanilla player (im in my 40s now and am a really dull player compared to you guys) and dress my Sims as such. I'm currently trying to cut down on cc, but we don't even have a regular fit, pair of jeans that any self respecting sim would be seen dead in! Do we need flairs? Do we need chains? Do we need tassles? Well, maybe we need those styles too, but can we also have some clothing that is a standard for most of the western world...... not being funny but EA could probably cover every single pair of jeans/pants worn by every man I know in 1 item and 10 swatches 😂🙈 \n\nI am so done with TS4 at the min, I have bought and played every single game and expansion since TS1 released, but I am 100% ready to wave goodbye if games like Paralives are even half as good as they are promising."", ""Delete extra work outfits:\nHi, I know this question has been asked and answered before, but I'm not having any joy with previous suggestions.\n\nMy Sim has progressed from having two part-time careers (barista and retail) to the Detective career, but his outfits from the two previous jobs are still somewhere in his wardrobe, and more often than not, he goes to work as a Colonel rank either in his barista or retail work clothes.\n\nYes, I can go into MCCC and change his outfit, but surely there's a way to delete the old ones?\n\nI've got into CAS with the cheats on, I've found the additional work outfits, but I can't see a little red X anywhere to move the extra ones. If I remove the items individually (tops, bottoms, etc), it just saves him naked and I'm not sure he should go to work as a cop in the nude!\n\nCould it be a case of deleting the multiple career mod and seeing if that wipes it?""]"
7,48,7_save_files_saves_gone,Save Loss & Recovery Frustrations,"['save', 'files', 'saves', 'gone', 'my', 'lost', 'and', 'all', 'saved', 'to']","[""Computer broke down and I lost 8 years of gameplay:\nAbout a year ago my computer completely broke down and we tried everything to recover pictures, videos, documents and most importantly my sims saves, cc and mods. But nothing could be saved. I was so devastated that I haven't played the game since. It still hurts to think of all the builds, and even the pictures of them are all lost. It might seem silly to be so upset about it, but I was genuinely so sad that I refused to even think about the game or the things I've built because it made me want to cry. I had downloaded so much content and created big family trees. I had a notebook with notes about the characters, their interests, personalities and careers etc.\n \nYesterday I finally downloaded the game and my packs on my new computer. In a way it's refreshing to start from the beginning but just downloading new cc and trying to find some old ones makes me a bit melancholy😅 But for now excited to get home for the weekend and open my sims 4 after a year of not playing it and loosing 8 years of gameplay\n\nI really wanted to share this somewhere so hopefully this is fine to post/rant"", 'is it possible to recover a lot from tray files?:\nhi all! i was hopping on the sims to finish a household i was working on a few weeks ago. i had made the house, made one out of the two sims i wanted to make, and somehow managed to save the sim but not the house?\nthere’s no official save file matching the date i made the sim and house in my sims 4 file, but there are tray files for the house i made and everything.\nit seems because i saved the sim to the gallery that’s the only reason it’s still recoverable (which thank god, i spent over an hour on their tattoos.) however the house is entirely gone, i dug through my other saved games and it’s nowhere to be found.\ni am a total noob when it comes to this kind of stuff, i have no idea what tray files really are lol but i know they contain house data! so i apologize if this entire post is stupid to some of y’all. but i really do not wanna remake the house again :’) is it recoverable at all or do i have to start from scratch?\nthanks!', ""All my sims 4 save files are gone what do I do?:\nI was playing sims 4 on a gaming laptop I was gifted then gaslit into giving back because the person who gifted it to me later changed their mind and wanted it back and said they were just lending it to me instead when I had lent it to them for a week, the thing is they reset it before I got the chance to save any of my sim files, and I lost all of them, and all my mods, as I don't remember the names of all the mods I had installed, what do I do?? Do I just start all over again?? Are all my old sim files lost forever? Idk, I was really attached to them, and had spent over two years on a forever world even if I'm not that good of a builder and that's just gone forever.""]"
8,41,8_sim_my_catfished_male,Family & Child Gameplay Issues,"['sim', 'my', 'catfished', 'male', 'someone', 'im', 'keeps', 'plumbob', 'response', 'left']","['Can someone tell me why my sim just... Left? 😭:\n', 'My sim just got catfished 😭:\n', ""My sim keeps getting a negative response:\nI couldn't find anyone having the same experience as me on the EA forums so I was wondering if someone here does. \n\nMy sim keeps getting a negative response from other sims (even when they have a high friendship). For some reason the other sim keeps rejecting pranks, giving a serum to try and complaints (like complaining about the weather). \nI don't have any mods, I only have cc. \n""]"
